a	Một
ophiophagus	ophiophagus
ophisaurus	ophisaurus
ophite	ophite
ophiurida	ophiurida
ophiuroidea	ophiuroidea
ophrys	ophry
ophthalmia	nhãn khoa
ophthalmic	nhãn khoa
ophthalmologist	bác sĩ nhãn khoa
ophthalmology	nhãn khoa
ophthalmoscope	kính soi đáy mắt
opiate	thuốc phiện
opima	thuốc phiện
opinative	chống đối
opinator	kẻ chống đối
opinitre	ý kiến ​​​​tre
opiniative	bắt nạt
opiniator	kẻ chống đối
opiniatry	thuốc phiện
opiniodz	ý kiến
opinion	ý kiến
opinionate	cố chấp
opinionated	khăng khăng
opinionatedness	cố chấp
opinionatist	người bảo thủ
opinionative	quan điểm
opinionativeness	chủ kiến
opinioned	ý kiến
opinionist	người có quan điểm
opinions	ý kiến
opinon	ý kiến
opintiveness	lạc quan
opisthobranchia	opisthobranchia
opisthocomidae	opisthocomidae
opisthocomus	opisthocomus
opisthognathidae	opisthognathidae
opisthognathous	opisthognathous
opitulation	sự che chở
opium	thuốc phiện
opopanax	opopanax
oportet	con mồi
opossum	chồn Opossum
opp	chống đối
oppenheimer	oppenheimer
oppidan	oppidan
oppilation	chống đối
opponent	phản đối
opportune	cơ hội
opportunely	hợp thời cơ
opportuneness	cơ hội
opportunism	chủ nghĩa cơ hội
opportunist	người cơ hội
opportunity	cơ hội
opposable	đối lập
oppose	phản đối
opposed	phản đối
opposing	chống đối
opposit	ngược lại
opposite	đối diện
oppositely	ngược lại
oppositeness	sự đối lập
opposition	Sự đối lập
oppositionist	người chống đối
oppress	đàn áp
oppressed	bị áp bức
oppression	áp bức
oppressive	áp bức
oppressively	áp bức
oppressor	kẻ áp bức
opprobrious	ngỗ nghịch
opprobrium	sự sỉ nhục
oppugn	phản đối
oppugnancy	chống đối
oppugnation	chống đối
ops	hoạt động
opsimathy	lạc quan
opsin	opsin
opt	opt
optative	chọn lọc
optez	tối ưu
optic	quang học
optical	quang học
optically	về mặt quang học
optician	bác sĩ nhãn khoa
optics	quang học
optimacy	sự tối ưu
optimally	một cách tối ưu
optimates	tối ưu hóa
optime	thời gian tối ưu
optimism	lạc quan
optimist	người lạc quan
optimistic	lạc quan
optimistically	một cách lạc quan
optimum	tối ưu
optinionist	người theo chủ nghĩa lựa chọn
option	lựa chọn
optional	không bắt buộc
optionally	tùy ý
optometrist	người đo thị lực
optometry	khúc xạ nhãn khoa
opulence	sự sang trọng
opulent	sang trọng
opum	thuốc phiện
opuntia	cơ hội
opuntiales	cơ hội
opus	tác phẩm
opuscule	viên nang
or	hoặc
ora	ora
orach	chim hót
oracle	tiên tri
oracles	lời tiên tri
oracular	lời tiên tri
orad	orad
oral	miệng
orally	miệng
oran	đười ươi
orange	quả cam
orangeade	nước cam
orangecolored	màu cam
orangeman	người cam
orangery	cây cam
orangewood	gỗ cam
orangutan	đười ươi
oratio	oratio
oration	diễn thuyết
orator	nhà hùng biện
oratorical	hùng biện
oratorio	diễn xướng
oratory	nhà hùng biện
oratress	diễn viên
oratrix	oratrix
orb	quả cầu
orbed	quả cầu
orbem	hình cầu
orbicular	hình cầu
orbiculate	hình cầu
orbignya	orbignya
orbit	quỹ đạo
orbital	quỹ đạo
orbs	quả cầu
orc	orc
orchard	vườn cây ăn trái
orchestia	dàn nhạc giao hưởng
orchestiidae	họ dàn nhạc
orchestra	dàn nhạc
orchestral	dàn nhạc giao hưởng
orchestrated	dàn dựng
orchestration	dàn nhạc
orchestrator	người dàn nhạc
orchestrina	dàn nhạc giao hưởng
orchid	phong lan
orchidaceae	họ phong lan
orchidales	hoa phong lan
orchidectomy	cắt bỏ phong lan
orchil	hoa phong lan
orchis	hoa phong lan
orchitis	viêm tinh hoàn
orchotomy	phẫu thuật cắt bỏ trực tràng
orcinus	orcinus
ordain	xuất gia
ordained	xuất gia
ordeal	thử thách
order	đặt hàng
ordered	ra lệnh
orderin	thứ tự
ordering	đặt hàng
orderless	vô trật tự
orderliness	trật tự
orderly	trật tự
orders	mệnh lệnh
ordinaire	sắc lệnh
ordinal	thứ tự
ordinance	sắc lệnh
ordinand	sắc phong
ordinariness	sự tầm thường
ordinary	bình thường
ordinate	thứ tự
ordination	xuất gia
ordnance	vũ khí
ordo	làm theo trật tự
ordonnance	bom đạn
ordovician	kỉ ordovic
ordure	phép tắc
ore	quặng
oread	sơn tinh
oreamnos	oreamnos
orectolobidae	trực tràng
orectolobus	trực tràng
oregano	rau kinh giới
oregon	oregon
oregonian	người oregon
oreilles	quặng sắt
oreo	oreo
oreopteris	oreopteris
oreortyx	oreortyx
orestes	quặng mỏ
organ	đàn organ
organ-grinder	máy xay nội tạng
organdy	nội tạng
organelle	bào quan
organic	hữu cơ
organically	hữu cơ
organicism	chủ nghĩa hữu cơ
organicistic	hữu cơ
organification	tổ chức
organism	sinh vật
organismal	sinh vật
organist	người chơi đàn organ
organization	tổ chức
organizational	tổ chức
organizationally	về mặt tổ chức
organize	tổ chức
organized	được tổ chức
organizer	người tổ chức
organizing	tổ chức
organography	tổ chức học
organon	đàn organ
organs	Nội tạng
organza	đàn organ
orgasm	cực khoái
orgastic	cực khoái
orgiastic	cuồng loạn
orgies	cực khoái
orgy	thác loạn
oriel	chim kêu
orient	định hướng
oriental	phương đông
orientalist	người phương Đông
orientate	định hướng
orientation	định hướng
oriented	định hướng
orienting	định hướng
orifice	lỗ
oriflamb	oriflamb
oriflamme	oriflame
origanum	origanum
origenism	thuyết nguồn gốc
origianlly	ban đầu
origin	nguồn gốc
original	nguyên bản
originalism	chủ nghĩa độc đáo
originality	độc đáo
originally	ban đầu
originate	bắt nguồn
origination	nguồn gốc
originator	người khởi xướng
origine	nguồn gốc
origo	origo
orinoco	orinoco
oriolidae	oriolidae
oriolus	hoa vàng anh
orion	hành
orions	hành tinh
orismological	luận thuyết
orismology	nhật thuyết học
orison	orison
orissa	orissa
orites	đá vôi
oritur	người định hướng
oriya	oriya
orizaba	orizaba
orlando	orlando
orleanais	orleanais
orleanist	người theo chủ nghĩa orleanist
orleans	orleans
orlon	orlon
orly	orly
ormazd	ormazd
ormer	ormer
ormolu	ormolu
ormosia	ormosia
ormuzd	ormuzd
ornament	vật trang trí
ornamental	trang trí
ornamentation	đồ trang trí
ornamented	trang trí
ornate	văn hoa
ornately	lộng lẫy
ornateness	sự hoa mỹ
ornature	thiên nhiên
ornavit	vật trang trí
orniscopy	soi bàng quang
ornithine	ornithine
ornithischia	chim ăn thịt
ornithischian	chim ăn thịt
ornithogalum	ornithogalum
ornithological	điểu học
ornithologist	nhà điểu học
ornithology	điểu cầm học
ornithomancy	thuật điểu cầm
ornithomimid	ornithomimid
ornithomimida	ornithomimida
ornithopod	khủng long chân chim
ornithorhynchidae	họ ornithorhynchidae
ornithorhynchus	ornithorhynchus
oro	oro
orobanchaceae	orobanchaceae
orontium	oronti
oropharynx	hầu họng
orotund	khoa trương
orotundity	sự không đồng đều
orphan	mồ côi
orphanage	cô nhi viện
orpheus	orpheus
orphrey	chim sơn ca
orpiment	quỹ đạo
orpine	orpine
orpington	orpington
orrery	nhà kho
orrisroot	ten gốc
ortalis	ortalis
orthicon	biểu tượng chính xác
orthochorea	chỉnh hình
orthoclase	chỉnh hình
orthodontic	chỉnh nha
orthodontics	chỉnh răng
orthodontist	bác sĩ chỉnh răng
orthodox	chính thống
orthodoxy	chính thống
orthoepy	chỉnh hình
orthogonal	trực giao
orthogonality	tính trực giao
orthograph	chữ viết
orthographic	chính tả
orthography	chính tả
orthology	chỉnh hình học
orthometry	hình học
orthomyxovirus	orthomyxovirus
orthopedic	chỉnh hình
orthopedics	chỉnh hình
orthopedist	bác sĩ chỉnh hình
orthopedy	chỉnh hình
orthopraxy	chỉnh hình
orthopristis	bệnh chỉnh hình
orthoptera	trực giao
orthoscope	ống soi trực tràng
orthotomus	chỉnh hình
orthotropous	chỉnh hình
orti	orti
ortolan	ortolan
orts	chiến đấu
ortygan	ortygan
oryalist	người theo thuyết giáo
orycteropodidae	orycteropodidae
orycteropus	orycteropus
oryctography	bản thảo
oryctolagus	oryctolagus
oryctology	sinh vật học
oryx	linh dương sừng xanh
oryza	oryza
oryzomys	oryzomys
oryzopsis	oryzopsis
orzo	orzo
os	hệ điều hành
osage	xương cốt
osaka	osaka
oscan	oscan
oscar	giải Oscar
oscillate	dao động
oscillating	dao động
oscillation	dao động
oscillator	dao động
oscillatoriaceae	họ dao động
oscillatory	dao động
oscillogram	biểu đồ dao động
oscillograph	máy ghi dao động
oscilloscope	máy hiện sóng
oscine	oscine
oscines	oscines
oscitancy	dao động
oscitant	dao động
oscitation	dao động
osco-umbrian	osco-umbrian
osculate	hôn nhau
osculation	osculation
osculatory	có tính thẩm thấu
osier	cây dương xỉ
osiris	thần tiên
oslo	oslo
osmanli	osmanli
osmanthus	hoa mộc tê
osmeridae	osmeridae
osmerus	thẩm thấu
osmium	thẩm thấu
osmosis	thẩm thấu
osmotic	thẩm thấu
osmotically	thẩm thấu
osmundaceae	osmundaceae
osprey	chim ưng
ossa	ossa
osseous	có xương
ossete	xương cốt
ossicle	hạt nhỏ
ossicular	xương con
ossiferous	có xương
ossific	xương cốt
ossification	cốt hóa
ossified	cốt hóa
ossify	cốt hóa
ossuary	bình đựng hài cốt
ostariophysi	sinh lý xương
osteal	ăn trộm
osteichthyes	osteichthyes
osteitis	viêm xương
ostensible	bề ngoài
ostensibly	bề ngoài
ostentation	phô trương
ostentatious	phô trương
ostentatiously	phô trương
osteoarthritis	thoái hóa khớp
osteoblast	nguyên bào xương
osteology	khoa xương
osteolysis	tiêu xương
osteoma	u xương
osteomalacia	nhuyễn xương
osteomyelitis	viêm tủy xương
osteopath	người nắn xương
osteopathist	bác sĩ nắn xương
osteopathy	nắn xương
osteopetrosis	loãng xương
osteoporosis	loãng xương
osteosarcoma	ung thư xương
osteostracan	xương ống
osteostraci	vết xương
ostiary	nhà thờ
ostinato	ostinato
ostiole	lá xương
ostium	lỗ thông
ostler	người nuôi đà điểu
ostraciidae	ostraciidae
ostracism	tẩy chay
ostracize	tẩy chay
ostracoda	bị tẩy chay
ostracoderm	mã giáp
ostracodermi	ostracodermi
ostrea	hải cẩu
ostreidae	họ xương rồng
ostrich	đà điểu
ostrogoth	ostrogoth
ostrya	đà điểu
ostryopsis	cây xương rồng
ostyak	thịt nướng
ot	không
otalgia	đau tai
otaria	tai
otariidae	họ otariidae
ote	ghi chú
othello	xin chào
othellos	othellos
other	khác
other(a)	khác (a)
otherness	sự khác biệt
others	người khác
otherwise	nếu không thì
othewisp	othewisp
othodox	chính thống
othonna	othonna
otia	tai
otic	người lạ
otides	otide
otididae	họ rái cá
otiose	có tai
otiosity	bệnh tai biến
otis	otis
otitis	viêm tai giữa
otium	ống tai
oto	ô tô
otology	khoa tai
otoscope	ống soi tai
otrigger	cò mồi
ottar	rái cá
ottawa	ottawa
otter	rái cá
otterhound	chó săn rái cá
otto	cái ghế dài
ottoman	ghế dài
otus	tai
ou	bạn
ouachita	ouachita
oublic	công cộng
oubliette	thùng rác
ouch	ôi
oudre	tiếng đàn
ough	ừ
ought	nên
ouguiya	ouguiya
oui	cầu xin
ouija	cầu cơ
ounce	ounce
ouphe	sự hưng phấn
our	của chúng tôi
ouranopithecus	ouranopithecus
ouranos	ouranos
ours	của chúng tôi
ourselves	chính chúng ta
oust	trục xuất
ouster	trục xuất
out	ngoài
out(a)	ra (a)
out(p)	ra(p)
out-and-outer	ngoài và ngoài
out-basket	ngoài giỏ hàng
out-of-bounds	ngoài giới hạn
out-of-school	ngoài trường học
out-of-the-way	ở xa
out-of-town	ngoài thành phố
outage	mất điện
outas	ngoại bang
outback	vùng hẻo lánh
outbalance	mất cân đối
outboard	phía ngoài
outbrave	dũng cảm
outbrazen	trơ trẽn
outbreak	sự bùng phát
outbred	ngoại lai
outbuilding	nhà phụ
outburst	bộc phát
outcast	bỏ bơ vơ
outcaste	bị ruồng bỏ
outclassed	vượt trội
outcome	kết cục
outcrop	lộ ra ngoài
outcry	phản đối kịch liệt
outdo	làm giỏi hơn
outdoor	ngoài trời
outdoor(a)	ngoài trời(a)
outdoors	ngoài trời
outdoorsy	ngoài trời
outer	bên ngoài
outer(a)	bên ngoài (a)
outercourse	khóa ngoài
outermost	ngoài cùng
outerwear	áo khoác ngoài
outfall	thất bại
outfield	sân ngoài
outfielder	tiền vệ
outfit	trang phục
outfitted	trang bị
outfitter	người trang bị
outfitting	trang phục
outflank	bọc sườn
outflow	chảy ra
outgate	cổng ngoài
outgeneral	chung chung
outgo	đi ra ngoài
outgoing	hướng ngoại
outgrow	cao hơn
outgrowth	sự phát triển
outherod	anh hùng
outhouse	nhà phụ
outing	đi chơi
outjump	vượt lên
outlandish	xa lạ
outlandishly	lạ lùng
outlandishness	sự xa lạ
outlast	lâu hơn
outlaw	ngoài vòng pháp luật
outlawry	phạm pháp
outleap	sự nhảy vọt
outlet	chỗ thoát
outlier	ngoại lệ
outline	đề cương
outlines	phác thảo
outlive	sống sót
outlook	quan điểm
outlying	vùng ngoại ô
outlying(a)	vùng ngoại ô(a)
outmaneuver	vượt trội
outmarch	tiến quân
outnumber	đông hơn
outpatient	bệnh nhân ngoại trú
outport	xuất khẩu
outpost	tiền đồn
outpour	tuôn ra
outpouring	tuôn ra
output	đầu ra
outrage	phẫn nộ
outrageous	tàn nhẫn
outrageously	thái quá
outrageousness	thái quá
outrance	ngoại lệ
outrank	cao hơn
outre	ngoài kia
outreach	tiếp cận cộng đồng
outreckon	liều lĩnh
outride	vượt lên
outrider	người hướng ngoại
outrigged	vượt ra ngoài
outrigger	người chống đỡ
outright	ngay
outrival	vượt trội
outrun	chạy nhanh hơn
outs	bên ngoài
outscourings	du ngoạn bên ngoài
outset	khởi đầu
outshine	tỏa sáng
outside	ngoài
outside(a)	bên ngoài (a)
outsider	người ngoài cuộc
outsize	ngoại cỡ
outskirt	ngoại ô
outskirts	vùng ngoại ô
outsole	đế ngoài
outspan	vượt quá giới hạn
outspeak	nói thẳng
outspoken	thẳng thắn
outspokenly	thẳng thắn
outspread	trải rộng
outstanding	nổi bật
outstandingly	nổi bật
outstare	nhìn chằm chằm
outstation	nhà ga
outstep	vượt lên
outstretched	dang ra
outstrip	vượt xa
outstroke	sự bộc phát
outtake	tiêu thụ
outtalk	nói nhiều
outthrust	đẩy ra ngoài
outvie	ngoại cảnh
outvote	ủng hộ
outward	bề ngoài
outward-developing	hướng ngoại
outward-moving	hướng ngoại
outwardly	bề ngoài
outwardness	tính hướng ngoại
outwards	hướng ngoại
outweigh	lớn hơn
outwit	đánh lừa
outwork	công việc gia công
outworn	lỗi thời
ouverts	lật ngược
ouzo	Ozon
oval	hình trái xoan
ovalipes	bầu dục
ovarian	buồng trứng
ovary	buồng trứng
ovate	hình trứng
ovation	sự reo mừng
oven	lò vi sóng
ovenbird	chim lò nướng
ovenware	dụng cụ lò nướng
over	qua
over-the-counter	bán tự do
overabound	quá nhiều
overabundance	dư thừa
overabundant	dư thừa
overachievement	thành tích vượt trội
overachiever	người thành đạt
overact	cường điệu
overacted	hoạt động quá mức
overactivity	hoạt động quá mức
overage	dư thừa
overall	tổng thể
overalls	quần yếm
overambitious	quá tham vọng
overanxiety	lo lắng thái quá
overanxious	quá lo lắng
overarch	bao quát
overawe	sợ hãi
overawed	choáng ngợp
overbalance	mất cân bằng
overbalanced	mất cân bằng
overbear	hống hách
overbearance	hống hách
overbearing	hống hách
overbearingly	hống hách
overbid	trả giá quá cao
overblown	thổi phồng quá mức
overboard	quá nhiệt tình
overborne	quá tải
overburden	quá tải
overbusy	quá bận rộn
overcapitalization	thừa vốn
overcareful	quá cẩn thận
overcast	u ám
overcautious	quá thận trọng
overcharge	quá tải
overcharged	sạc quá mức
overcoat	áo choàng
overcolor	tô màu quá mức
overcome	vượt qua
overcompensation	bồi thường quá mức
overconfidence	tự tin thái quá
overconfident	quá tự tin
overcredulity	quá cả tin
overcredulous	quá cả tin
overcritical	chỉ trích thái quá
overcurious	quá tò mò
overdate	Qua ngày
overdelicate	quá tinh tế
overdistension	căng quá mức
overdo	làm quá sức
overdone	quá trớn
overdose	quá liều
overdraft	thấu chi
overdraw	rút tiền
overdrawn	thấu chi
overdressed	ăn mặc hở hang
overdrive	chạy quá tốc độ
overdue	quá hạn
overeager	quá háo hức
overeat	ăn quá nhiều
overemotional	xúc động thái quá
overemphasis	nhấn mạnh quá mức
overenthusiastic	nhiệt tình thái quá
overestimate	đánh giá quá cao
overestimated	đánh giá quá cao
overestimation	đánh giá quá cao
overexcited	phấn khích quá mức
overexertion	gắng sức quá sức
overexploitation	khai thác quá mức
overexposure	tiếp xúc quá mức
overfatigued	quá mệt mỏi
overfed	cho ăn quá nhiều
overfeed	cho ăn quá nhiều
overfeeding	cho ăn quá nhiều
overflow	tràn ra
overflowing	tràn ngập
overfond	quá thích
overgarment	quần áo ngoài
overgo	vượt qua
overgorge	tràn ngập
overgorged	ăn quá nhiều
overgreedy	quá tham lam
overgrown	mọc um tùm
overgrowth	phát triển quá mức
overhand	quá tay
overhang	phần nhô ra
overhanging	nhô ra
overhaul	xem xét lại
overhead	trên không
overhear	nghe lén
overheated	quá nóng
overheating	quá nóng
overindulgence	quá nuông chiều
overjoyed	vui mừng khôn xiết
overjump	nhảy quá đà
overkill	quá mức cần thiết
overladen	quá tải
overland	đường bộ
overlap	chồng lên nhau
overlapping	qua nối chồng
overlarge	quá khổ
overlay	lớp phủ
overleaf	trang sau
overleap	nhảy qua
overliberal	tự do thái quá
overlie	che
overload	quá tải
overlook	bỏ qua
overlooked	bỏ qua
overlooker	người giám sát
overloook	bỏ sót
overlord	bá Vương
overlordship	lãnh chúa
overlying	nằm trên
overmantel	lớp phủ ngoài
overmaster	vượt trội
overmatch	vượt trội
overmeasure	đo lường quá mức
overmodest	quá khiêm tốn
overmuch	quá nhiều
overnight	qua đêm
overnighter	qua đêm
overofficious	thái quá
overpaid	trả thừa
overpass	cầu vượt
overpayment	trả thừa
overpersuade	thuyết phục quá mức
overplus	thừa
overpoise	quá sức
overpopulation	dân số quá đông
overpower	chế ngự
overpowering	chế ngự
overpraise	ca ngợi thái quá
overpriced	đắt đỏ
overprint	in đè lên
overprize	đánh giá quá cao
overproduction	sản xuất thừa
overprotective	quá bảo vệ
overproud	quá tự hào
overrate	đánh giá quá cao
overreach	vượt quá giới hạn
overreaching	vượt quá giới hạn
overreaction	phản ứng thái quá
overreckon	đánh giá quá cao
overrefined	quá tinh tế
overrefinement	sàng lọc quá mức
overreligious	quá tôn giáo
override	ghi đè
overriding	ghi đè
overrighteous	ngay thẳng
overripe	quá chín
overrule	ghi đè lên
overruling	phủ quyết
overrun	tràn ngập
overscrupulous	quá cẩn thận
oversea	nước ngoài
overseas	Hải ngoại
overseer	giám thị
oversensitive	quá nhạy cảm
oversensitiveness	quá nhạy cảm
overserious	thái quá
overset	quá hạn
oversexed	quan hệ tình dục quá mức
overshadow	lu mờ
overshoe	giày cao gót
overshoot	vượt quá
overshot	phóng đại
overside	bên ngoài
oversight	giám sát
oversimplification	đơn giản hóa quá mức
oversimplified	đơn giản hóa quá mức
overskip	bỏ qua
overskirt	váy ngoài
oversleep	ngủ quên
oversolicitous	quá cầu kỳ
overspent	chi tiêu quá tay
overspread	tràn lan
overstate	phóng đại
overstep	vượt qua
overstock	thừa hàng
overstrain	quá sức
overstrung	quá căng thẳng
overstuffed	nhồi nhét quá nhiều
oversubscribed	đăng ký quá mức
oversupply	cung cấp quá mức
oversuspicious	nghi ngờ thái quá
overt	công khai
overtake	vượt qua
overtaken	vượt qua
overtask	vượt qua nhiệm vụ
overtax	đánh thuế quá mức
overthrow	lật đổ
overthwart	lật đổ
overtime	tăng ca
overtired	quá mệt mỏi
overtly	công khai
overtolerance	quá khoan dung
overtone	âm bội
overtop	cao hơn
overture	khúc dạo đầu
overturn	lật ngửa
overturned	lật ngược
overvaliant	đánh giá quá cao
overvaluation	định giá quá cao
overvalue	định giá quá cao
overweening	ăn quá nhiều
overweigh	thừa cân
overwhelm	áp đảo
overwhelmed	choáng ngợp
overwhelming	áp đảo
overwhelmingly	áp đảo
overwise	quá khôn ngoan
overwork	làm việc quá sức
overwrought	quá sức
overzealous	nhiệt tình thái quá
ovibos	trứng
ovid	trứng
oviparous	đẻ trứng
ovipositor	cơ quan đẻ trứng
oviraptorid	oviraptorid
ovis	trứng
ovo	trứng
ovoid	hình trứng
ovoviviparous	đẻ trứng
ovrerhasty	quá vội vàng
ovular	hình trứng
ovulation	rụng trứng
ovule	phôi châu
ovum	noãn
ow	ôi
owe	nợ
owing	mắc nợ
owing(p)	nợ (p)
owl	con cú
owlet	chim cú
owlish	cú mèo
owlishly	cú mèo
owls	cú
owlslight	đèn cú
own	sở hữu
own(a)	sở hữu (a)
owned	sở hữu
owner	người sở hữu
owner-driver	chủ-lái
owner-occupied	sở hữu
owner-occupier	chủ sở hữu
ownership	quyền sở hữu
owns	sở hữu
owr	ừm
ox	con bò đực
ox-eyed	mắt bò
oxalacetate	oxalaxetat
oxalate	oxalat
oxalidaceae	oxalidaceae
oxalis	bò húc
oxandra	cây ngưu tất
oxaprozin	oxaprozin
oxazepam	oxazepam
oxbow	cung ngưu
oxbridge	cầu bò
oxcart	xe bò
oxeye	mắt bò
oxford	oxford
oxford-gray	oxford-xám
oxgoad	dùi bò
oxicillin	oxixilin
oxidant	chất oxy hóa
oxidase	oxy hóa
oxidation	Quá trình oxy hóa
oxidation-reduction	oxi hóa-khử
oxidative	oxy hóa
oxide	oxit
oxidizable	oxy hóa
oxidized	bị oxy hóa
oxidoreductase	oxyoreductaza
oxime	oxime
oximeter	máy đo oxy
oxlip	bò sát
oxonian	oxonian
oxreim	ngưu hoàng hoàn
oxtail	đuôi bò
oxtant	chất bò
oxtongue	lưỡi bò
oxyacetylene	oxy axetylen
oxyacid	axit oxy
oxybelis	oxybelis
oxycephaly	bệnh não oxy
oxydendrum	oxydendrum
oxygen	ôxy
oxygenase	oxyaza
oxygenated	oxy hóa
oxygenation	oxy hóa
oxygon	oxy
oxygonal	hình vuông
oxylebius	cây ô rô
oxymoron	nghịch lý
oxyphenbutazone	oxyphenbutazon
oxytetracycline	oxytetracycline
oxytocin	oxytocin
oxytropis	oxytropis
oxyura	oxyura
oxyuranus	oxyuranus
oxyuridae	oxyuridae
oyabun	oyabun
oyer	người ngoài hành tinh
oyez	ôi
oyster	con hàu
oystercatcher	thợ bắt hàu
ozarks	ozarks
ozone	khí quyển
ozonium	ôzôn
ozothamnus	ozothamnus
p	P
pa	pa
pa'anga	pa'anga
pablum	pablum
pabulum	pabulum
paca	paca
pacatolus	pacatolus
pace	nhịp độ
paced	nhịp độ
pacem	nhịp độ
pacemaker	máy tạo nhịp tim
pacer	người điều khiển tốc độ
paces	nhịp độ
pachinko	pachinko
pachisi	pachisi
pachuco	pachuco
pachycephala	pachycephala
pachycephalosaur	pachycephalosaur
pachyderm	da bì
pachydermatous	da sần sùi
pachyrhizus	pachyrhizus
pachysandra	pachysandra
pachytene	pachytene
pacific	thái bình dương
pacification	bình định
pacified	bình định
pacifism	chủ nghĩa hòa bình
pacifist	Hòa bình
pacifist(a)	người theo chủ nghĩa hòa bình(a)
pacifistically	theo chủ nghĩa hòa bình
pacify	hòa bình
pacing	nhịp độ
pack	đóng gói
package	bưu kiện
packaged	đóng gói
packaging	đóng gói
packed	đóng gói
packer	người đóng gói
packera	bìm bịp
packet	gói
packhorse	ngựa thồ
packing	đóng gói
packinghouse	nhà đóng gói
packrat	chuột cống
packsaddle	yên ngựa
packthread	gói chỉ
pact	hiệp ước
paction	gói
pad	tập giấy
padauk	padauk
padda	padda
padding	đệm
paddle	mái chèo
paddlebox	mái chèo
paddlefish	cá mái chèo
paddlewheel	mái chèo
paddock	mái chèo
paddy	thóc
pademelon	dưa hấu
padishah	padishah
padlock	ổ khóa
padre	ông chủ
padrone	máy bay không người lái
padua	padua
paean	ca tụng
paella	Paella
paena	paena
paenitentiae	paenitentiae
paenititentiae	paenititentiae
paeonia	mẫu đơn
paeoniaceae	paeoniaceae
pagan	ngoại đạo
paganism	tà giáo
page	trang
pageant	cuộc thi sắc đẹp
pageantry	cuộc thi sắc đẹp
pageboy	trai bao
pagellus	trangllus
pagina	trang
pagination	phân trang
paging	phân trang
pagoda	chùa
pagophila	người thích ăn bám
pagophilus	ấu trùng
pagri	pagri
pagrus	pagrus
paguridae	họ paguridae
pagurus	pagurus
pah	pah
pahautea	pahautea
paid	trả
paid-up	thanh toán
pail	thùng
paillard	pallard
paillasse	paillasse
pain	nỗi đau
pain-free	không đau
pained	đau đớn
painful	đau đớn
painfully	đau đớn
painfulness	sự đau đớn
painim	đau đớn
painkiller	thuốc giảm đau
painless	không đau
painlessly	không đau
pains	đau đớn
painstaking	siêng năng
painstakingly	siêng năng
paint	sơn
paintable	sơn được
paintbox	Hộp đựng dụng cụ vẽ
paintbrush	cọ sơn
painted	Sơn
painter	họa sĩ
painterly	họa sĩ
painting	bức vẽ
pair	đôi
paired	ghép đôi
pairs	cặp
paisa	paisa
paisley	cánh hoa
paiute	đóng tiền
paiwanic	paiwanic
paixhan	paixhan
pajama	đồ ngủ
pajamas	đồ ngủ
pakistan	pa-ki-xtan
pakistani	pa-ki-xtan
paktong	paktong
pal	bạn thân
palace	cung điện
paladin	hiệp sĩ
palaemon	palaemon
palaemonidae	palaemonidae
palaestra	cung điện
palaetiology	cổ sinh vật học
palaic	cung điện
palais	cung điện
palang	kiệu
palankeen	kiệu
palanquin	kiệu
palaquium	cung điện
palatability	ngon miệng
palatable	ngon miệng
palatably	ngon miệng
palatal	nguy nga
palate	khẩu vị
palatial	nguy nga
palatinate	vòm miệng
palatine	vòm miệng
palaver	người ăn cháo đá bát
palce	cung điện
pale	tái nhợt
paleacrita	màu nhạt
paleencephalon	não trắng
paleface	khuôn mặt tái nhợt
palefaced	tái nhợt
palely	nhợt nhạt
paleness	xanh xao
paleoanthropic	cổ nhân loại
paleoanthropological	cổ sinh vật học
paleoanthropology	cổ sinh vật học
paleobiology	cổ sinh vật học
paleobotany	cổ thực vật học
paleocene	cổ sinh
paleoclimatology	cổ khí hậu học
paleocortical	vỏ não
paleocrystic	cổ tinh thể
paleodendrology	cổ sinh vật học
paleoethnography	cổ sinh vật học
paleogeography	paleogeography
paleogeology	cổ sinh vật học
paleography	paleography
paleolith	đồ đá cũ
paleolithic	đồ đá cũ
paleology	cổ sinh vật học
paleomammalogy	cổ sinh vật học
paleontological	cổ sinh vật học
paleontologist	nhà cổ sinh vật học
paleontology	cổ sinh vật học
paleopathology	cổ sinh vật học
paleornithology	cổ sinh vật học
paleozoic	đại cổ sinh
paleozoology	cổ sinh vật học
palermo	nhạt màu
palestine	người Palestin
palestinian	người Palestine
palestra	cung điện
palestric	cổ điển
palestrical	cổ kính
paletiology	cổ sinh vật học
paletot	paletot
palette	bảng màu
palfrey	cá ngựa vằn
palimony	người da trắng
palimpsest	da cừu
palindrome	xuôi ngược đều giống nhau
paling	tái nhợt
palingenesis	sự phát sinh
palingenetic	nhạt màu
palinode	màu nhạt
palinody	chứng xanh xao
palinuridae	họ cá bơn
palinurus	bạch tạng
palisade	hàng rào
palish	nhợt nhạt
paliurus	bạc màu
palki	lòng bàn tay
pall	pall
pall-mall	pall-trung tâm mua sắm
palladium	palladi
pallbearer	người khiêng quan tài
pallescere	màu xám nhạt
pallet	pallet
pallette	pallette
palliament	xoa dịu
palliate	xoa dịu
palliation	xoa dịu
palliative	xoa dịu
pallid	xanh xao
pallidity	xanh xao
pallidly	xanh xao
pallium	pallium
pallmall	cửa hàng tạp hóa
pallone	nhợt nhạt
pallor	xanh xao
palm	lòng bàn tay
palmae	lòng bàn tay
palmales	lòng bàn tay
palmam	lòng bàn tay
palmar	lòng bàn tay
